mid,raw_text,isLongText,like_count,comments_count,reposts_count,created_at,source,user_id
4416685844781813,"如今还在谈论苹果iPhone11和华为mate30，貌似追时尚，实际早落伍了<span class=""url-icon""><img alt=[笑cry] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-d320324f00.png"" style=""width:1em; height:1em;"" /></span>。手机早发展到顶点，性能过剩如图以前的电脑，买啥手机都好用了。 ",0,1,5,1,2小时前,荣耀 9X,1887584050
4416678253247127,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%8E%E4%B8%BA5G%E6%89%8B%E6%9C%BAMate30%23&extparam=%23%E5%8D%8E%E4%B8%BA5G%E6%89%8B%E6%9C%BAMate30%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#华为5G手机Mate30#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%8E%E4%B8%BAP30%23&extparam=%23%E5%8D%8E%E4%B8%BAP30%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#华为P30#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%8B%8D%E6%9C%88%E4%BA%AE%E5%A4%A7%E8%B5%9B%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#拍月亮大赛#</span></a> 我的华为mate20pro拍的月亮也不错 <a data-url=""http://t.cn/RyhYNv0"" href=""https://m.weibo.cn/p/index?containerid=23065700428008633030000000000&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">温州</span></a> ",0,1,3,0,3小时前,HUAWEI Mate 20 Pro,1724908527
4416669311173200,"《华为Mate30将至：旧设计就留给苹果，我们聊聊技术与创新》前些天，回忆着早已被曝光得一干二净的参数，带着不太期待的心情，作为数码爱好者本人就像例行公事一样将苹果发布会看完。<a data-url=""http://t.cn/AiETCKLg"" target=""_blank"" href=""https://weibo.cn/sinaurl/blocked6b416320?url=https%3A%2F%2Frb.mbd.baidu.com%2Fjpwtvn8%3Ff%3Dwb%26u%3D45c134c94649c103&luicode=10000011&lfid=100103type%3D1%26q%3DMate30&u=https%3A%2F%2Frb.mbd.baidu.com%2Fjpwtvn8%3Ff%3Dwb%26u%3D45c134c94649c103"" class=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='//h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a> ",0,0,0,0,3小时前,百度极速版,1044538337
4416635559398028,本来是想去苹果店看看iPhone 11的，结果店里也是20号开始上货😂😂😂简直了。不过旁边的vivo居然已经有了nex3，说是工厂拿出来的、不让拍照。太帅了这手机，真希望苹果也能用这样的ID。而且哈，如果mate30真是谍照那样的，感觉和nex撞机了啊。而且nex3还没有兔牙刘海。[并不简单][并不简单][并不简单],1,2,0,0,5小时前,微博 HTML5 版,2493428177
4416460392670584,"紧随华为Mate30系列而来，搭载麒麟A1芯片的华为Watch GT2将于19日发布<span class=""url-icon""><img alt=[吃瓜] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-c95cd5ba58.png"" style=""width:1em; height:1em;"" /></span> <a data-url=""http://t.cn/AiEYZrE3"" href=""https://m.weibo.cn/p/index?containerid=2304444416460349479241&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">Ark咔嚓一下的微博视频</span></a> ",0,19,4,2,17小时前,,1789651114
4415364047558137,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%8B%B9%E6%9E%9C%E9%A6%96%E6%AC%A1%E5%AF%B9%E6%AF%94%E5%8D%8E%E4%B8%BA%23&extparam=%23%E8%8B%B9%E6%9E%9C%E9%A6%96%E6%AC%A1%E5%AF%B9%E6%AF%94%E5%8D%8E%E4%B8%BA%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#苹果首次对比华为#</span></a>苹果新品iphone11没有5G，而华为5G手机Mate30即将上市，苹果5G要等一年，华为只要一周，如果您想换手机，打算入手哪款手机？ <a data-url=""http://t.cn/AiEKQnR0"" href=""https://vote.weibo.com/h5/index/index?vote_id=2019_306381_-_9b4c97&from=1110006030&weiboauthoruid=3775056661&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">巍岳钦禹的微博投票</span></a> ",0,82861,521,105,09-11,HUAWEI P30 Pro,3775056661
4416473113884517,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23iPhone%E5%8F%91%E5%B8%83%E5%90%8E%E6%97%A7%E6%AC%BE%E5%87%BA%E9%97%AE%E9%A2%98%23&extparam=%23iPhone%E5%8F%91%E5%B8%83%E5%90%8E%E6%97%A7%E6%AC%BE%E5%87%BA%E9%97%AE%E9%A2%98%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#iPhone发布后旧款出问题#</span></a> 康康mate30出来之前华为能买多少热搜<span class=""url-icon""><img alt=[亲亲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_qinqin-ec0877767a.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[亲亲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_qinqin-ec0877767a.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[亲亲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_qinqin-ec0877767a.png"" style=""width:1em; height:1em;"" /></span> ",0,9,9,0,16小时前,,2691153085
4416589837831570,"还好一个都没<span class=""url-icon""><img alt=[爱你] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-4a23c0524a.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[嘻嘻] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-813ededea2.png"" style=""width:1em; height:1em;"" /></span> 三天假期只有明天一天可以休息，但愿天气晴朗，让我也能在晚上赏赏月亮，赶紧炫炫P30 PRO 50倍混合变焦。因为不久，我可能就要换MATE30了<span class=""url-icon""><img alt=[馋嘴] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_chanzui-01ee2388fd.png"" style=""width:1em; height:1em;"" /></span>",0,2,3,0,9小时前,HUAWEI P30 Pro,1538969534
4416145056681386,iPhone11那么丑，配置那么差，还没有5g，还有那么多人想买。实际等一周买华为mate30 pro，或者过一两月买华为折叠屏手机都比苹果好 ,0,38,57,2,09-13,华为Mate20保时捷设计,1303945933
4416580844471585,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%8E%E4%B8%BAMate30%23&extparam=%23%E5%8D%8E%E4%B8%BAMate30%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#华为Mate30#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%8E%E4%B8%BA%E6%99%BA%E6%85%A7%E5%B1%8F%23&extparam=%23%E5%8D%8E%E4%B8%BA%E6%99%BA%E6%85%A7%E5%B1%8F%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#华为智慧屏#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%8D%A3%E8%80%80%E6%99%BA%E6%85%A7%E5%B1%8F%23&extparam=%23%E8%8D%A3%E8%80%80%E6%99%BA%E6%85%A7%E5%B1%8F%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#荣耀智慧屏#</span></a> 我去，我去，华为智慧屏，意外泄露，这应该是随mate30新品发布一起的，可见尺寸 65寸  ",0,1,1,1,9小时前,,5671478083
4416572711620960,"<a  href=""https://m.weibo.cn/p/index?containerid=10080832d18f022483038e526720b6dc00cc46&extparam=%E5%8D%8E%E4%B8%BAmate30&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='http://n.sinaimg.cn/photo/5213b46e/20181127/timeline_card_small_super_default.png'></span><span class=""surl-text"">华为mate30超话</span></a><a  href=""https://m.weibo.cn/p/index?containerid=1008089f70fda390505216886de9ee212c62c2&extparam=mate30&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='http://n.sinaimg.cn/photo/5213b46e/20181127/timeline_card_small_super_default.png'></span><span class=""surl-text"">mate30超话</span></a>距离<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23mate30%23&extparam=%23mate30%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#mate30#</span></a> 发布还有5天，POWER THROUGH SPEED力量穿越速度，Rethink Possibilities，2019年9月19日北京时间20:00，德国·慕尼黑，<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%8E%E4%B8%BAMate30%23&extparam=%23%E5%8D%8E%E4%B8%BAMate30%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#华为Mate30#</span></a> 全球发布会。<a href='/n/华为手机'>@华为手机</a> <a href='/n/隐形冠军'>@隐形冠军</a> <a href='/n/花粉俱乐部'>@花粉俱乐部</a> <a href='/n/特快评测'>@特快评测</a> <a href='/n/华为终端公司'>@华为终端公司</a> <a href='/n/华为终端官方微博'>@华为终端官方微博</a> ",0,2,0,0,10小时前,华为mate30超话,1457674193
